ApprovalNo,NR/2022/1434/C,NR/2022/1426/D,WR/2022/1709/C,WR/2022/1701/D,WR/2022/1698/D,WR/2022/1705/D,WR/2022/1707/D,WR/2022/1734/C,NR/2022/1431/D,SR/2022/468/D,NR/2022/1439/C,NR/2022/1437/C,NR/2022/1436/C,NR/2022/1432/D,NR/2022/1433/C,ER/2022/1113/C,NR/2022/1449/C,ER/2022/1112/D,ER/2022/1106/D,WR/2022/1708/C
Type,C,DA,C,DA,DA,DA,DA,C,DA,DA,C,C,C,DA,C,C,C,DA,DA,C
Trader,TS1PL_BKN,MSUPL_BHDL2,AEML,MANIKARAN,ABCREPL_BHDL2,AcHPPL_BHDL2,TPREL,IEXL,AHEJ2L_S_FTG2,ABCREPL_BHDL2,TS1PL_BKN,KEIPL,AHEJ3L_W_FTG2,AHEJ2L_W_FTG2,AHEJ3L_S_FTG2,AHEJ3L_W_FTG2,IEXL,AHEJ3L_S_FTG2,CSPJPL_BHDL,AEML
Injecting State,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan
Injecting Utility,RSUPL_FTG2,RSUPL_FTG2,AHEJ4L_W_FTG1,AHEJ3L_SOLAR,ABCREPL_BHDL2,AcHPPL_BHDL2,TPREL,RSRPL_BKN,AHEJ2L_S_FTG2,ABCREPL_BHDL2,TS1PL_BKN,AHEJ4L_SOLAR,AHEJ3L_W_FTG2,AHEJ2L_W_FTG2,AHEJ3L_S_FTG2,AHEJ3L_W_FTG2,RSRPL_BKN,AHEJ3L_S_FTG2,CSPJPL_BHDL,AHEJ4L_S_FTG1
Drawee State,Delhi,Telangana,Maharashtra,Goa WR,Madhya Pradesh,Maharashtra,Maharashtra,Maharashtra,Punjab,Pondicherry UT,Delhi,Himachal Pradesh,Punjab,Punjab,Punjab,West Bengal,Uttarakhand,West Bengal,Jharkhand,Maharashtra
Drawee Utility,BRPL,HARYANA,AEML,GOA_Beneficiary,MPPMCL,MSEDCL,TPC MSEB,AEML,PUNJAB,PONDY,BYPL,HP,PUNJAB,PUNJAB,PUNJAB,IPCL_WB,UTTARAKHAND,IPCL_WB,JBVNL,AEML
Link,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Path,NR-NR,NR-NR,NR-WR,NR-WR,NR-WR,NR-WR,NR-WR,NR-WR,NR-NR,NR-WR-SR,NR-NR,NR-NR,NR-NR,NR-NR,NR-NR,NR-ER,NR-NR,NR-ER,NR-ER,NR-WR
ContractFromDate,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022
ContractToDate,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022
For Date,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022,10-06-2022
PoC Exemption,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N
1,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
2,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
3,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
4,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
5,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
6,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
7,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
8,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
9,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
10,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
11,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
12,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
13,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
14,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
15,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
16,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
17,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
18,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
19,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
20,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
21,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
22,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
23,0,0,210,0,0.37,0,0,0,0,0.19,0,0,28,43,0,14,0,0,0,0
24,0,1.05,210,0,0.81,0,0,0,0,0.41,0,0,28,43,0,14,0,0,0.25,0
25,0,3.85,210,1,3.79,0,5,0,21,1.9,0,0,28,43,0,14,1,0,3.62,0
26,1.37,7.98,210,6,7.27,2.84,7,2,21,3.64,0.58,0,28,43,0,14,1,0,8.28,12
27,2.39,13.02,210,16,11.54,8.49,10,4,21,5.77,1.02,0,28,43,7,14,3,3,14.75,30
28,3.58,19.03,210,28,16.71,16.28,19,6,21,8.35,1.54,15,28,43,15,14,5,7,23.17,34
29,4.98,26.15,210,47,22.84,26.61,25,9,44,11.42,2.14,15,28,43,25,14,6,12,34.1,55
30,6.69,34.68,207,50,30,37.68,32,13,44,15,2.86,15,28,43,37,14,8,18,47.4,82
31,9.38,44.03,182,50,38.11,51.48,45,17,57,19.05,4.02,15,28,43,50,14,11,25,62.16,107
32,11.65,54.21,163,50,46.95,67.73,55,22,57,23.48,4.99,15,28,43,59,14,15,29,77.64,126
33,14,64.78,153,50,56.24,84.54,65,27,70,28.12,6,15,28,43,68,14,18,34,93.33,136
34,16.8,75.29,138,50,65.75,100.43,75,32,70,32.87,7.2,15,28,43,74,14,21,37,109.09,148
35,18.2,84.97,121,50,75.3,115.41,80,37,83,37.65,7.8,15,28,43,80,14,24,40,124.57,163
36,21,95.04,107,50,84.73,129.85,90,42,83,42.37,9,15,28,43,84,14,28,42,139.04,174
37,23.1,104.17,92,50,93.79,147.52,95,48,95,46.9,9.9,15,28,43,84,14,32,42,152.74,187
38,25.9,113.15,84,50,102.44,159.46,105,53,95,51.22,11.1,15,28,43,85,14,36,42,165.2,194
39,27.3,121.03,84,50,110.54,170.63,115,58,105,55.27,11.7,15,27,43,86,13,38,43,176.66,198
40,29.05,128.57,84,50,118.02,182.98,120,62,105,59.01,12.45,15,27,43,86,13,41,43,186.47,202
41,30.8,135.38,84,50,124.67,193.7,125,66,113,62.34,13.2,15,27,43,86,13,44,43,194.51,204
42,32.9,142.17,83,50,130.39,205.48,133,70,113,65.2,14.1,15,26,43,87,13,46,43,201.51,206
43,34.3,147.69,82,50,135.18,213.75,138,73,113,67.59,14.7,15,26,43,87,13,49,43,208.85,207
44,36.4,152.29,82,50,139.03,220.27,140,76,113,69.52,15.6,15,26,43,87,13,50,43,213.96,207
45,36.4,155.18,80,50,142.16,224.78,142,79,118,71.08,15.6,15,26,43,87,13,52,43,217.58,209
46,36.4,156.74,80,50,144.39,228.34,145,81,118,72.2,15.6,15,26,43,87,13,53,43,220.75,209
47,36.4,157.58,79,50,145.8,230.27,148,83,118,72.9,15.6,15,27,43,86,13,55,43,222.02,210
48,35.7,157.85,82,50,146.66,233.6,149,84,118,73.33,15.3,15,27,43,86,13,55,43,223.38,207
49,35.7,158.12,81,50,147.78,234.03,150,84,122,73.89,15.3,15,28,43,85,14,57,42,223.04,208
50,35.7,158.21,81,50,149.33,235.6,150,85,122,74.67,15.3,15,28,43,85,14,56,42,223.15,208
51,35,158.16,81,50,151.05,235.53,149,85,122,75.52,15,15,28,43,85,14,56,42,223.04,208
52,35,157.96,82,50,152.03,235.8,149,85,122,76.02,15,15,28,43,85,14,56,42,223.04,207
53,35,157.79,82,50,152.14,235.38,148,84,122,76.07,15,15,28,43,85,14,57,42,222.08,207
54,33.6,157.26,82,50,151.01,235.16,145,84,122,75.5,14.4,15,28,43,85,14,55,42,221,207
55,32.9,156.32,82,50,149.11,234.03,143,83,122,74.56,14.1,15,28,43,85,14,55,42,219.83,207
56,32.2,153.16,85,50,146.57,230.29,135,81,122,73.28,13.8,15,28,43,85,14,54,42,214.45,204
57,31.5,150.79,85,50,143.32,225.63,130,79,118,71.66,13.5,15,28,43,83,14,53,41,210.52,204
58,31.5,146.71,88,50,139.04,220.01,125,78,118,69.52,13.5,15,28,43,83,14,52,41,206.08,201
59,30.8,142.08,85,50,133.41,212.32,120,75,118,66.71,13.2,15,28,43,83,14,51,41,200.39,204
60,30.8,136.65,94,50,127.05,204.65,118,73,118,63.53,13.2,15,28,43,83,14,48,41,193.14,195
61,30.8,128.9,85,35,119.7,192.82,112,69,113,59.85,13.2,15,28,43,83,14,46,41,181.63,204
62,28,122.32,90,25,111.55,183.44,109,66,113,55.77,12,15,28,43,83,14,44,41,170.87,199
63,28,111.93,94,20,102.71,169.77,97,62,109,51.36,12,15,28,43,83,14,41,41,157.72,195
64,26.6,107.43,98,5,94.41,157.95,95,58,109,47.21,11.4,15,28,43,82,14,39,41,145.26,191
65,24.5,94.06,102,0,86.74,144.9,88,55,101,43.37,10.5,15,28,43,84,14,36,41,131.18,187
66,21,90.63,109,0,79.35,130.15,83,50,101,39.67,9,15,28,43,84,14,33,42,117.13,180
67,21,81.46,112,0,71.28,112.35,74,45,89,35.64,9,15,28,43,82,14,31,41,102.3,177
68,18.9,69.88,125,0,62.63,98.21,65,41,89,31.31,8.1,15,28,43,78,14,27,39,87.66,164
69,16.8,60.66,135,0,53.44,83.05,60,36,76,26.72,7.2,15,28,43,74,14,24,37,73.8,154
70,14,50.14,148,0,44.55,65.35,50,31,76,22.28,6,15,28,43,68,14,21,34,60.37,141
71,11.2,42.65,163,0,36.13,50.69,40,26,62,18.07,4.8,15,28,43,60,14,17,30,47.77,126
72,9.8,32.77,179,0,28.43,38.62,32,21,62,14.21,4.2,15,28,43,54,14,13,27,36.13,110
73,7,25.7,206,0,0,25.08,21,16,46,0,3,0,28,43,44,14,11,22,26.25,83
74,5.6,19.71,210,0,0,14.52,20,13,46,0,2.4,0,28,43,32,14,9,16,17.78,65
75,3.5,13.94,210,0,0,6.57,15,10,46,0,1.5,0,28,43,22,14,6,11,10.39,44
76,2.8,8.77,210,0,0,0.42,10,5,46,0,1.2,0,28,43,14,14,3,7,4.72,20
77,1.4,4.46,210,0,0,0,0,1,0,0,0.6,0,28,43,0,14,1,0,1.31,12
78,0.7,1.33,210,0,0,0,0,0,0,0,0.3,0,28,43,0,14,0,0,0,0
79,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
80,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
81,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
82,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
83,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
84,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
85,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
86,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
87,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
88,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
89,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
90,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
91,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
92,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
93,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
94,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
95,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
96,0,0,210,0,0,0,0,0,0,0,0,0,28,43,0,14,0,0,0,0
